time,container_cpu_usage_seconds_total,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_cpu_util_percentage,tegra_wattage_current_milliwatts
1720776164.591,0.062055712,70,86,80,77,36,28,4762
1720776165.591,0.062055712,83,86,89,76,36,28,4762
1720776166.591,0.062055712,83,66,89,76,36,40,5332
1720776167.591,0.062055712,97,66,89,76,33,40,5332
1720776168.591,0.062055712,97,66,88,76,33,33,5128
1720776169.591,0.062055712,97,82,88,76,37,33,5128
1720776170.594,0.062055712,91,82,79,89,37,31,4721
1720776171.591,0.062055712,91,68,79,89,25,31,4721
1720776172.591,0.062055712,97,68,92,88,25,31,4721
1720776173.594,0.062055712,97,64,92,88,22,31,4721
1720776174.591,0.062055712,87,64,79,93,22,30,4680
1720776175.591,0.062055712,87,81,79,93,33,30,4680
1720776176.591,0.062055712,80,81,85,59,33,31,4721
1720776177.591,0.062055712,80,93,85,59,38,31,4721
1720776178.591,0.062055712,71,93,65,87,38,33,4965
1720776179.591,0.062055712,71,77,65,87,33,33,4965
1720776180.591,34.589496256,78,77,94,90,33,30,5169
1720776181.591,34.589496256,78,65,94,90,38,30,5169
1720776182.591,34.589496256,86,65,70,92,38,30,5169
1720776183.591,34.589496256,86,93,70,92,38,33,5210
1720776184.591,34.589496256,74,93,70,92,30,33,5210
1720776185.591,34.589496256,74,93,70,85,30,31,4965
1720776186.591,34.589496256,74,71,70,85,33,31,4965
1720776187.591,34.589496256,93,71,76,93,33,28,4925
1720776188.591,34.589496256,93,95,76,93,35,28,4925
1720776189.591,34.589496256,67,95,90,76,35,27,4884
1720776190.591,34.589496256,67,79,90,76,27,27,4884
1720776191.591,34.589496256,84,79,77,89,27,30,4925
1720776192.591,34.589496256,84,77,77,89,32,30,4925
1720776193.591,34.589496256,83,77,98,65,32,26,4477
1720776194.591,34.589496256,83,97,98,65,33,26,4477
1720776195.591,34.589496256,64,97,91,55,33,30,4803
1720776196.591,34.589496256,64,67,91,55,33,30,4803
1720776197.591,34.589496256,90,67,80,86,33,29,4803
1720776198.591,34.589496256,90,69,80,86,32,29,4803
1720776199.591,34.589496256,94,69,95,60,32,26,4762
